Generator,Real time (s),Real time variance,Real time 95% CI,User time (s),User time variance,User time 95% CI,Difference (Real - User time),Energy consumption (J/min),Energy consumption 95% CI,Energy consumption during real time (J),Energy consumption during real time 95% CI
pcg32IntegerR,2.452,0.2623,[2.27; 2.64],2.4505,0.2614,[2.27; 2.63],0.0015,3209.7,[3185.35; 3234.05],131.1715,[130.18; 132.17]
numpyIntegerTaskset_numpyIntegerTasksetRandomGenerationAtOnce,2.5984,0.0001,[2.59; 2.60],2.2034,0.0023,[2.19; 2.22],0.3949,4766.3483,[4747.59; 4785.10],206.412,[205.60; 207.22]
tensorflowIntegerR_tensorflowIntegerRandomGenerationAtOnce,3.2186,0.0078,[3.19; 3.25],17.8906,0.2898,[17.70; 18.08],-14.6719,4893.7241,[4862.41; 4925.04],262.5184,[260.84; 264.20]
numpyIntegerR_numpyIntegerRandomGenerationAtOnce,3.4213,0.2778,[3.23; 3.61],3.9793,0.2402,[3.80; 4.15],-0.5580,4688.14,[4669.67; 4706.61],267.3282,[266.28; 268.38]
mt19937arIntegerO3,4.2923,0.1180,[4.17; 4.42],4.2904,0.1179,[4.17; 4.41],0.0020,3607.735,[3476.79; 3738.68],258.0934,[248.73; 267.46]
numpyIntegerMt_numpyIntegerMtRandomGenerationAtOnce,4.5519,0.1309,[4.42; 4.68],5.1465,0.1199,[5.02; 5.27],-0.5947,4847.665,[4828.75; 4866.58],367.7654,[366.33; 369.20]
mt19937arIntegerO2,4.7434,0.0356,[4.68; 4.81],4.7386,0.0354,[4.67; 4.81],0.0048,3323.89,[3226.38; 3421.40],262.7738,[255.07; 270.48]
numpyIntegerPhilox_numpyIntegerPhiloxRandomGenerationAtOnce,6.7729,0.1590,[6.63; 6.92],7.3698,0.1625,[7.23; 7.51],-0.5969,4849.215,[4829.80; 4868.63],547.3848,[545.19; 549.58]
tensorflowIntegerTaskset_tensorflowIntegerTasksetRandomGenerationAtOnce,7.0825,0.0150,[7.04; 7.13],6.2306,0.0097,[6.20; 6.27],0.8520,4800.25,[4784.14; 4816.36],566.6322,[564.73; 568.53]
mt19937arIntegerR,7.101,0.1607,[6.96; 7.24],7.0975,0.1595,[6.95; 7.24],0.0035,3419.125,[3285.98; 3552.27],404.6534,[388.90; 420.41]
pytorchIntegerTaskset_pytorchIntegerTasksetRandomGenerationAtOnce,8.0622,0.0312,[8.00; 8.13],7.1197,0.0259,[7.06; 7.18],0.9426,4766.96,[4748.06; 4785.86],640.5391,[638.00; 643.08]
pytorchIntegerR_pytorchIntegerRandomGenerationAtOnce,9.0868,0.0787,[8.99; 9.19],8.9316,0.0483,[8.85; 9.01],0.1552,4812.5276,[4775.33; 4849.73],728.8386,[723.20; 734.47]
philoxIntegerR,90.0604,0.8234,[89.74; 90.39],90.0578,0.8212,[89.73; 90.38],0.0027,4845.48,[4824.15; 4866.81],7273.1005,[7241.08; 7305.12]
pythonIntegerR_pythonIntegerRandomGenerationOneByOne,425.9194,21.9773,[424.24; 427.60],425.9054,21.9848,[424.23; 427.58],0.0141,5410.5193,[5185.95; 5635.09],38407.422,[36813.25; 40001.59]
pythonIntegerTaskset_pythonIntegerTasksetRandomGenerationAtOnce,486.1138,30.3535,[484.14; 488.09],452.9372,20.3591,[451.32; 454.55],33.1766,4298.715,[4260.00; 4337.43],34827.7471,[34514.05; 35141.44]
pythonIntegerR_pythonIntegerRandomGenerationAtOnce,489.0245,23.1509,[487.30; 490.75],453.2894,15.4389,[451.88; 454.70],35.7350,4375.205,[4110.53; 4639.88],35659.7049,[33502.49; 37816.92]
pytorchIntegerR_pytorchIntegerRandomGenerationOneByOne,2281.7916,8409.5167,[2248.98; 2314.61],2282.3334,8415.9625,[2249.51; 2315.16],-0.5418,8846.4371,[8492.64; 9200.24],336428.766,[322973.74; 349883.80]
numpyIntegerMt_numpyIntegerMtRandomGenerationOneByOne,6327.7627,77323.7181,[6228.26; 6427.27],6328.4962,77348.2033,[6228.97; 6428.02],-0.7335,45223.5621,[42623.11; 47824.02],4769399.4619,[4495148.41; 5043650.52]
numpyIntegerR_numpyIntegerRandomGenerationOneByOne,6458.6113,29731.2269,[6396.91; 6520.31],6459.4995,29756.4441,[6397.77; 6521.23],-0.8882,5925.9414,[5579.41; 6272.47],637889.196,[600587.67; 675190.72]
numpyIntegerPhilox_numpyIntegerPhiloxRandomGenerationOneByOne,6552.2084,49609.5377,[6472.50; 6631.91],6553.1281,49627.2740,[6473.41; 6632.85],-0.9197,64212.8089,[61111.12; 67314.50],7012261.8032,[6673546.74; 7350976.87]
