Generator,Real time (s),Real time variance,Real time 95% CI,User time (s),User time variance,User time 95% CI,Difference (Real - User time),Energy consumption (J/min),Energy consumption 95% CI,Energy consumption during real time (J),Energy consumption during real time 95% CI
mt19937arIntegerO2,4.743366666666668,0.03560927471264366,[4.68; 4.81],4.7386,0.03539273103448277,[4.67; 4.81],0.004766666666667696,3323.89,[3226.38; 3421.40],262.7738171611112,[255.07; 270.48]
mt19937arIntegerO3,4.292333333333333,0.11800464367816095,[4.17; 4.42],4.290366666666667,0.11791086091954024,[4.17; 4.41],0.00196666666666534,3607.7349999999997,[3476.79; 3738.68],258.09335330555547,[248.73; 267.46]
mt19937arIntegerR,7.101000000000001,0.16065758620689644,[6.96; 7.24],7.097499999999998,0.15948515517241377,[6.95; 7.24],0.003500000000002501,3419.125,[3285.98; 3552.27],404.65344375000006,[388.90; 420.41]
numpyIntegerMt_numpyIntegerMtRandomGenerationAtOnce,4.551866666666666,0.1308721885057471,[4.42; 4.68],5.146533333333333,0.11990411954022988,[5.02; 5.27],-0.5946666666666669,4847.665,[4828.75; 4866.58],367.76541207777774,[366.33; 369.20]
numpyIntegerMt_numpyIntegerMtRandomGenerationOneByOne,6327.762666666665,77323.71811471261,[6228.26; 6427.27],6328.496200000002,77348.20327120001,[6228.97; 6428.02],-0.7335333333376184,45223.56206896552,[42623.11; 47824.02],4769399.4618947115,[4495148.41; 5043650.52]
numpyIntegerPhilox_numpyIntegerPhiloxRandomGenerationAtOnce,6.772866666666665,0.15895742988505743,[6.63; 6.92],7.369800000000001,0.16249402758620698,[7.23; 7.51],-0.596933333333336,4849.215,[4829.80; 4868.63],547.3847772166665,[545.19; 549.58]
numpyIntegerPhilox_numpyIntegerPhiloxRandomGenerationOneByOne,6552.208433333333,49609.537693771235,[6472.50; 6631.91],6553.128133333333,49627.2739763954,[6473.41; 6632.85],-0.919699999999466,64212.808928571416,[61111.12; 67314.50],7012261.80316346,[6673546.74; 7350976.87]
numpyIntegerR_numpyIntegerRandomGenerationAtOnce,3.4213333333333336,0.2778338850574712,[3.23; 3.61],3.9793333333333334,0.24018078160919537,[3.80; 4.15],-0.5579999999999998,4688.14,[4669.67; 4706.61],267.32816088888893,[266.28; 268.38]
numpyIntegerR_numpyIntegerRandomGenerationOneByOne,6458.611266666666,29731.226886891945,[6396.91; 6520.31],6459.4995,29756.44412901723,[6397.77; 6521.23],-0.8882333333340284,5925.941379310343,[5579.41; 6272.47],637889.1959669997,[600587.67; 675190.72]
numpyIntegerTaskset_numpyIntegerTasksetRandomGenerationAtOnce,2.598366666666666,0.00010134367816091952,[2.59; 2.60],2.2034333333333334,0.0023462540229885033,[2.19; 2.22],0.39493333333333247,4766.348275862068,[4747.59; 4785.10],206.4120080287355,[205.60; 207.22]
pcg32IntegerR,2.452033333333333,0.2623192057471264,[2.27; 2.64],2.4505,0.2614450172413793,[2.27; 2.63],0.0015333333333331645,3209.7,[3185.35; 3234.05],131.17152316666665,[130.18; 132.17]
philoxIntegerR,90.06043333333334,0.8233662540229879,[89.74; 90.39],90.0577666666667,0.8211610816091908,[89.73; 90.38],0.002666666666641504,4845.4800000000005,[4824.15; 4866.81],7273.100475133334,[7241.08; 7305.12]
pythonIntegerR_pythonIntegerRandomGenerationAtOnce,489.0244666666667,23.150945222988522,[487.30; 490.75],453.2894333333334,15.438946047126404,[451.88; 454.70],35.73503333333326,4375.205,[4110.53; 4639.88],35659.70486137222,[33502.49; 37816.92]
pythonIntegerR_pythonIntegerRandomGenerationOneByOne,425.9194333333333,21.97728259885056,[424.24; 427.60],425.9053666666667,21.98476644712646,[424.23; 427.58],0.01406666666662204,5410.519310344826,[5185.95; 5635.09],38407.4219783521,[36813.25; 40001.59]
pythonIntegerTaskset_pythonIntegerTasksetRandomGenerationAtOnce,486.1138333333333,30.353489867816105,[484.14; 488.09],452.9372333333333,20.35909349540229,[451.32; 454.55],33.17659999999995,4298.715,[4260.00; 4337.43],34827.747117625004,[34514.05; 35141.44]
pytorchIntegerR_pytorchIntegerRandomGenerationAtOnce,9.086766666666668,0.07867397816091957,[8.99; 9.19],8.931566666666665,0.04828694367816087,[8.85; 9.01],0.15520000000000245,4812.527586206897,[4775.33; 4849.73],728.838587545977,[723.20; 734.47]
pytorchIntegerR_pytorchIntegerRandomGenerationOneByOne,2281.7916,8409.516744662069,[2248.98; 2314.61],2282.3334000000004,8415.962512386206,[2249.51; 2315.16],-0.5418000000004213,8846.437142857145,[8492.64; 9200.24],336428.7660416572,[322973.74; 349883.80]
pytorchIntegerTaskset_pytorchIntegerTasksetRandomGenerationAtOnce,8.062233333333332,0.031242254022988518,[8.00; 8.13],7.119666666666666,0.02589919540229886,[7.06; 7.18],0.9425666666666652,4766.960000000002,[4748.06; 4785.86],640.5390635111112,[638.00; 643.08]
tensorflowIntegerR_tensorflowIntegerRandomGenerationAtOnce,3.2186333333333335,0.00778065402298851,[3.19; 3.25],17.890566666666665,0.2898039091954021,[17.70; 18.08],-14.671933333333332,4893.7241379310335,[4862.41; 4925.04],262.51839390804594,[260.84; 264.20]
tensorflowIntegerTaskset_tensorflowIntegerTasksetRandomGenerationAtOnce,7.082533333333333,0.014976671264367818,[7.04; 7.13],6.230566666666666,0.009662047126436776,[6.20; 6.27],0.8519666666666668,4800.250000000001,[4784.14; 4816.36],566.6321772222223,[564.73; 568.53]
