Generator,Real time (s),Real time variance,Real time 95% CI,User time (s),User time variance,User time 95% CI,Difference (Real - User time),Energy consumption (J/min),Energy consumption 95% CI,Energy consumption during real time (J),Energy consumption during real time 95% CI
mrg32k3aO2,31.466,0.4949,[31.21; 31.72],31.4628,0.4947,[31.21; 31.71],0.0032,2750.795,[2744.56; 2757.03],1442.6071,[1439.33; 1445.88]
mrg32k3aR,43.1265,0.2064,[42.96; 43.29],43.1234,0.2063,[42.96; 43.29],0.0031,2783.585,[2744.86; 2822.31],2000.7713,[1972.93; 2028.61]
well19937O2a,4.9749,0.1644,[4.83; 5.12],4.9733,0.1642,[4.83; 5.12],0.0017,2979.415,[2970.81; 2988.02],247.0398,[246.33; 247.75]
well19937O3a,4.9631,0.1009,[4.85; 5.08],4.9612,0.1005,[4.85; 5.07],0.0019,2991.035,[2981.97; 3000.10],247.4118,[246.66; 248.16]
mrg32k3aO3,19.9659,0.2272,[19.80; 20.14],19.964,0.2271,[19.79; 20.13],0.0019,3000.865,[2941.58; 3060.15],998.5812,[978.85; 1018.31]
well19937aR,13.0829,0.0004,[13.08; 13.09],13.0806,0.0004,[13.07; 13.09],0.0022,3040.66,[3008.42; 3072.90],663.0092,[655.98; 670.04]
mt19937arO2,4.5031,0.2166,[4.34; 4.67],4.5015,0.2157,[4.34; 4.67],0.0017,3179.165,[3168.29; 3190.04],238.6034,[237.79; 239.42]
mt19937arR,7.4846,0.2383,[7.31; 7.66],7.4828,0.2377,[7.31; 7.66],0.0018,3186.49,[3172.36; 3200.62],397.4934,[395.73; 399.26]
mt19937arO3,4.1974,0.1541,[4.06; 4.34],4.196,0.1535,[4.06; 4.34],0.0015,3226.825,[3159.98; 3293.67],225.7397,[221.06; 230.42]
pythonR_pythonRandomGenerationOneByOne,36.8693,3.1807,[36.23; 37.51],36.8575,3.1823,[36.22; 37.50],0.0118,3865.7083,[3806.83; 3924.59],2375.4305,[2339.25; 2411.61]
pcg64O3,10.9984,0.2208,[10.83; 11.17],10.9963,0.2202,[10.83; 11.16],0.0021,3882.55,[3812.37; 3952.73],711.6973,[698.83; 724.56]
pcg64O2,11.0732,0.1943,[10.92; 11.23],11.072,0.1942,[10.91; 11.23],0.0012,3925.175,[3872.56; 3977.79],724.4019,[714.69; 734.11]
pythonTaskset_pythonTasksetRandomGenerationAtOnce,69.5241,2.0231,[69.02; 70.03],43.8863,0.4140,[43.66; 44.12],25.6378,3994.895,[3871.83; 4117.96],4629.0247,[4486.43; 4771.62]
pytorchTaskset_pytorchTasksetRandomGenerationAtOnce,6.0202,0.0565,[5.94; 6.11],5.3053,0.0250,[5.25; 5.36],0.7149,4348.0241,[4306.74; 4389.30],436.2687,[432.13; 440.41]
numpyMt_numpyMtRandomGenerationAtOnce,13.0826,18.0893,[11.56; 14.60],7.269,0.0916,[7.16; 7.38],5.8136,4358.065,[4168.48; 4547.65],950.2446,[908.91; 991.58]
pcg64R,13.1803,0.1272,[13.05; 13.31],13.1792,0.1269,[13.05; 13.31],0.0011,4473.0672,[4459.61; 4486.52],982.6086,[979.65; 985.56]
numpyTaskset_numpyTasksetRandomGenerationAtOnce,4.3549,0.0083,[4.32; 4.39],3.562,0.0155,[3.52; 3.61],0.7929,4550.28,[4530.53; 4570.03],330.2669,[328.83; 331.70]
tensorflowTaskset_tensorflowTasksetRandomGenerationAtOnce,8.1807,0.0255,[8.12; 8.24],6.6745,0.0142,[6.63; 6.72],1.5062,4762.63,[4750.04; 4775.22],649.3634,[647.65; 651.08]
numpyPhilox_numpyPhiloxRandomGenerationAtOnce,13.2558,3.4810,[12.59; 13.92],12.0001,0.0921,[11.89; 12.11],1.2557,5033.005,[4875.79; 5190.22],1111.9446,[1077.21; 1146.68]
tensorflowR_tensorflowRandomGenerationAtOnce,3.3758,0.0683,[3.28; 3.47],32.3289,1.4632,[31.90; 32.76],-28.9531,5131.12,[5100.87; 5161.37],288.6939,[286.99; 290.40]
pytorchR_pytorchRandomGenerationOneByOne,2388.4092,385.8637,[2381.38; 2395.44],2388.8529,388.1488,[2381.80; 2395.90],-0.4436,5630.9,[5233.18; 6028.62],224148.2259,[208316.06; 239980.39]
numpyR_numpyRandomGenerationAtOnce,5.773,8.5204,[4.73; 6.82],5.7547,8.4411,[4.71; 6.79],0.0183,5906.645,[5670.16; 6143.13],568.3177,[545.56; 591.07]
numpyR_numpyRandomGenerationOneByOne,330.9751,162.8978,[326.41; 335.54],331.8779,162.6531,[327.31; 336.44],-0.9028,5935.289,[5772.42; 6098.16],32740.5509,[31842.13; 33638.98]
pythonR_pythonRandomGenerationAtOnce,75.4612,90.2587,[72.06; 78.86],48.4789,12.1838,[47.23; 49.73],26.9823,6521.71,[6078.98; 6964.44],8202.2677,[7645.45; 8759.08]
pytorchR_pytorchRandomGenerationAtOnce,6.9013,0.1639,[6.76; 7.05],7.0107,0.0993,[6.90; 7.12],-0.1094,7141.5,[6891.12; 7391.88],821.4272,[792.63; 850.23]
numpyMt_numpyMtRandomGenerationOneByOne,319.8938,26.4842,[318.05; 321.74],320.8309,26.4930,[318.99; 322.67],-0.9371,37375.5517,[36671.35; 38079.75],199270.1419,[195515.66; 203024.62]
numpyPhilox_numpyPhiloxRandomGenerationOneByOne,323.0621,24.8951,[321.28; 324.85],323.9827,24.7196,[322.20; 325.76],-0.9206,37590.4448,[36613.97; 38566.92],202400.8008,[197143.08; 207658.52]
