Generator,Real time (s),Real time variance,Real time 95% CI,User time (s),User time variance,User time 95% CI,Difference (Real - User time),Energy consumption (J/min),Energy consumption 95% CI,Energy consumption during real time (J),Energy consumption during real time 95% CI
mrg32k3aO2,31.46596666666667,0.49491024022988495,[31.21; 31.72],31.462766666666667,0.4947381160919544,[31.21; 31.71],0.0032000000000032003,2750.7950000000005,[2744.56; 2757.03],1442.6070629472226,[1439.33; 1445.88]
mrg32k3aO3,19.965866666666674,0.2272254988505746,[19.80; 20.14],19.964000000000002,0.2270607586206895,[19.79; 20.13],0.0018666666666717902,3000.865,[2941.58; 3060.15],998.5811745777781,[978.85; 1018.31]
mrg32k3aR,43.1265,0.20636770689655226,[42.96; 43.29],43.12336666666667,0.206296791954023,[42.96; 43.29],0.003133333333330768,2783.585,[2744.86; 2822.31],2000.7713083750002,[1972.93; 2028.61]
mt19937arO2,4.503133333333334,0.21657274022988496,[4.34; 4.67],4.501466666666667,0.21569949885057468,[4.34; 4.67],0.0016666666666669272,3179.1649999999995,[3168.29; 3190.04],238.60339806111114,[237.79; 239.42]
mt19937arO3,4.197433333333333,0.15405777126436782,[4.06; 4.34],4.195966666666667,0.15353389540229886,[4.06; 4.34],0.001466666666665617,3226.824999999999,[3159.98; 3293.67],225.7397135972221,[221.06; 230.42]
mt19937arR,7.4846,0.23828914482758615,[7.31; 7.66],7.482766666666666,0.237718116091954,[7.31; 7.66],0.0018333333333346857,3186.49,[3172.36; 3200.62],397.49338423333336,[395.73; 399.26]
numpyMt_numpyMtRandomGenerationAtOnce,13.082566666666668,18.089264460919544,[11.56; 14.60],7.268966666666667,0.09162589540229887,[7.16; 7.38],5.813600000000002,4358.065,[4168.48; 4547.65],950.2445983361112,[908.91; 991.58]
numpyMt_numpyMtRandomGenerationOneByOne,319.89383333333325,26.484203660919537,[318.05; 321.74],320.8309,26.49299429999996,[318.99; 322.67],-0.9370666666667375,37375.55172413793,[36671.35; 38079.75],199270.1418997126,[195515.66; 203024.62]
numpyPhilox_numpyPhiloxRandomGenerationAtOnce,13.255833333333332,3.4810100057471263,[12.59; 13.92],12.000133333333336,0.0920814988505747,[11.89; 12.11],1.2556999999999956,5033.005,[4875.79; 5190.22],1111.9445907638888,[1077.21; 1146.68]
numpyPhilox_numpyPhiloxRandomGenerationOneByOne,323.06210000000004,24.89505278275862,[321.28; 324.85],323.9827333333333,24.71960661609191,[322.20; 325.76],-0.9206333333332282,37590.444827586194,[36613.97; 38566.92],202400.8007655689,[197143.08; 207658.52]
numpyR_numpyRandomGenerationAtOnce,5.773,8.520403655172414,[4.73; 6.82],5.754666666666666,8.441070505747126,[4.71; 6.79],0.018333333333333535,5906.645,[5670.16; 6143.13],568.3176930833333,[545.56; 591.07]
numpyR_numpyRandomGenerationOneByOne,330.97513333333336,162.89779818850576,[326.41; 335.54],331.8779333333333,162.6530534436781,[327.31; 336.44],-0.9027999999999565,5935.288965517241,[5772.42; 6098.16],32740.55094556552,[31842.13; 33638.98]
numpyTaskset_numpyTasksetRandomGenerationAtOnce,4.354899999999999,0.008284920689655164,[4.32; 4.39],3.562033333333334,0.01548003333333333,[3.52; 3.61],0.792866666666665,4550.28,[4530.53; 4570.03],330.2669061999999,[328.83; 331.70]
pcg64O2,11.073166666666669,0.19433441954022995,[10.92; 11.23],11.071966666666667,0.19419824022988502,[10.91; 11.23],0.0012000000000025324,3925.1749999999993,[3872.56; 3977.79],724.4019495138889,[714.69; 734.11]
pcg64O3,10.9984,0.22081838620689676,[10.83; 11.17],10.996300000000003,0.2202073896551725,[10.83; 11.16],0.002099999999996882,3882.5499999999997,[3812.37; 3952.73],711.6972986666666,[698.83; 724.56]
pcg64R,13.180333333333333,0.12721698850574706,[13.05; 13.31],13.179233333333334,0.12687735747126433,[13.05; 13.31],0.0010999999999992127,4473.06724137931,[4459.61; 4486.52],982.6086210632183,[979.65; 985.56]
pythonR_pythonRandomGenerationAtOnce,75.4612,90.25866609655172,[72.06; 78.86],48.47893333333333,12.18376565057471,[47.23; 49.73],26.982266666666675,6521.71,[6078.98; 6964.44],8202.267710866668,[7645.45; 8759.08]
pythonR_pythonRandomGenerationOneByOne,36.86926666666667,3.180715719540231,[36.23; 37.51],36.8575,3.182281913793104,[36.22; 37.50],0.011766666666666481,3865.7082758620686,[3806.83; 3924.59],2375.4304879716474,[2339.25; 2411.61]
pythonTaskset_pythonTasksetRandomGenerationAtOnce,69.5241,2.023144575862068,[69.02; 70.03],43.88626666666667,0.41396227126436735,[43.66; 44.12],25.637833333333333,3994.8950000000004,[3871.83; 4117.96],4629.024657825001,[4486.43; 4771.62]
pytorchR_pytorchRandomGenerationAtOnce,6.9013,0.16385980344827578,[6.76; 7.05],7.010666666666667,0.09930485057471261,[6.90; 7.12],-0.10936666666666728,7141.5,[6891.12; 7391.88],821.4272325,[792.63; 850.23]
pytorchR_pytorchRandomGenerationOneByOne,2388.4092333333333,385.8636750126419,[2381.38; 2395.44],2388.8528666666666,388.14882956781724,[2381.80; 2395.90],-0.44363333333330957,5630.9,[5233.18; 6028.62],224148.22586627776,[208316.06; 239980.39]
pytorchTaskset_pytorchTasksetRandomGenerationAtOnce,6.020233333333334,0.056457771264367844,[5.94; 6.11],5.3053,0.02500014827586207,[5.25; 5.36],0.7149333333333345,4348.024137931035,[4306.74; 4389.30],436.26866415517253,[432.13; 440.41]
tensorflowR_tensorflowRandomGenerationAtOnce,3.3758,0.06826740689655171,[3.28; 3.47],32.3289,1.463164851724137,[31.90; 32.76],-28.9531,5131.120000000001,[5100.87; 5161.37],288.69391493333336,[286.99; 290.40]
tensorflowTaskset_tensorflowTasksetRandomGenerationAtOnce,8.180733333333333,0.02550523678160922,[8.12; 8.24],6.674499999999998,0.01418743103448277,[6.63; 6.72],1.5062333333333342,4762.630000000001,[4750.04; 4775.22],649.3634332555557,[647.65; 651.08]
well19937O2a,4.974933333333334,0.1644335126436781,[4.83; 5.12],4.9732666666666665,0.16416151264367818,[4.83; 5.12],0.0016666666666678154,2979.4150000000004,[2970.81; 2988.02],247.03984995555564,[246.33; 247.75]
well19937O3a,4.963066666666665,0.10090089195402302,[4.85; 5.08],4.9612,0.10049961379310347,[4.85; 5.07],0.001866666666665573,2991.035,[2981.97; 3000.10],247.41176845555546,[246.66; 248.16]
well19937aR,13.082866666666668,0.00039618850574712724,[13.08; 13.09],13.080633333333333,0.00042961954022987576,[13.07; 13.09],0.0022333333333346417,3040.6600000000003,[3008.42; 3072.90],663.0091559777778,[655.98; 670.04]
